Admin2,Province_State,Lat,Long_,Combined_Key,Population,confirmed_3_18,confirmed_3_19,confirmed_3_20,confirmed_3_21,confirmed_3_22,confirmed_3_23,confirmed_3_24,confirmed_3_25,confirmed_3_26,confirmed_3_27,confirmed_3_28,confirmed_3_29,confirmed_3_30,confirmed_3_31,confirmed_4_1,confirmed_4_2,confirmed_4_3,confirmed_4_4,confirmed_4_5,confirmed_4_6,confirmed_4_7,confirmed_4_8,confirmed_4_9,confirmed_4_10,confirmed_4_11,confirmed_4_12,confirmed_4_13,confirmed_4_14,confirmed_4_15,confirmed_4_16,confirmed_4_17,confirmed_4_18,confirmed_4_19,confirmed_4_20,confirmed_4_21,confirmed_4_22,confirmed_4_23,confirmed_4_24,confirmed_4_25,confirmed_4_26,confirmed_4_27,confirmed_4_28,confirmed_4_29,confirmed_4_30,deaths_3_18,deaths_3_19,deaths_3_20,deaths_3_21,deaths_3_22,deaths_3_23,deaths_3_24,deaths_3_25,deaths_3_26,deaths_3_27,deaths_3_28,deaths_3_29,deaths_3_30,deaths_3_31,deaths_4_1,deaths_4_2,deaths_4_3,deaths_4_4,deaths_4_5,deaths_4_6,deaths_4_7,deaths_4_8,deaths_4_9,deaths_4_10,deaths_4_11,deaths_4_12,deaths_4_13,deaths_4_14,deaths_4_15,deaths_4_16,deaths_4_17,deaths_4_18,deaths_4_19,deaths_4_20,deaths_4_21,deaths_4_22,deaths_4_23,deaths_4_24,deaths_4_25,deaths_4_26,deaths_4_27,deaths_4_28,deaths_4_29,deaths_4_30
Warren,Kentucky,36.99903045,-86.42672751,"Warren, Kentucky, US",132896,0,0,2,2,2,4,4,5,5,5,5,9,12,13,13,13,13,18,21,21,21,21,24,24,24,49,49,47,52,71,71,87,95,101,112,131,130,165,184,219,234,263,313,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,Kentucky,37.75599461,-85.17407732,"Washington, Kentucky, US",12095,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,Kentucky,36.80310688,-84.8251971,"Wayne, Kentucky, US",20333,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,7,6,6,6,6,6,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster,Kentucky,37.52168356,-87.67989953,"Webster, Kentucky, US",12942,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,7,7,8,8,7,9,11,12,13,13,13,13,16,16,16,19,20,19,21,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitley,Kentucky,36.75700531,-84.14541217,"Whitley, Kentucky, US",36264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,5,5,7,8,8,8,8,8,10,10,10,10,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolfe,Kentucky,37.73941626,-83.49303612,"Wolfe, Kentucky, US",7157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodford,Kentucky,38.04178222,-84.7417556,"Woodford, Kentucky, US",26734,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,8,9,9,8,8,9,9,9,17,17,16,16,20,18,19,18,18,18,19,19,19,19,19,19,17,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia,Louisiana,30.2950649,-92.41419698,"Acadia, Louisiana, US",62045,0,0,0,0,0,1,2,2,3,8,9,9,11,39,47,61,72,65,75,79,82,86,89,94,98,99,101,104,105,108,110,110,110,114,114,117,117,129,130,130,130,130,130,130,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,9,9,9,10
Allen,Louisiana,30.65385745,-92.82442028,"Allen, Louisiana, US",25627,0,0,0,0,0,2,2,2,5,5,7,9,11,15,19,26,34,39,40,52,58,65,66,67,71,73,74,74,74,78,79,79,79,79,79,80,81,81,82,82,87,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,5,5,5,5,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Ascension,Louisiana,30.20406249,-90.9132841,"Ascension, Louisiana, US",126604,1,2,3,12,12,26,36,65,91,90,107,139,153,161,189,201,222,284,286,347,358,366,370,397,415,428,432,438,440,451,468,496,508,512,515,533,536,551,557,568,574,576,587,593,0,0,0,0,0,1,1,1,1,1,1,2,5,6,5,7,7,7,11,11,11,15,17,19,20,23,24,27,27,29,30,30,30,31,31,33,33,34,35,36,35,36,38,40
Assumption,Louisiana,29.89946234,-91.06461642,"Assumption, Louisiana, US",21891,0,0,1,1,1,1,2,2,5,8,8,14,17,20,25,31,33,56,59,77,84,89,94,105,109,116,120,123,129,132,137,143,146,146,151,154,158,166,172,173,175,177,178,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,6,6
Avoyelles,Louisiana,31.07796211,-92.00079449,"Avoyelles, Louisiana, US",40144,0,0,0,1,1,1,3,5,7,10,12,13,14,19,31,34,37,36,37,40,45,48,56,56,61,61,64,65,64,66,68,68,69,69,69,71,71,69,69,69,69,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7
Beauregard,Louisiana,30.64836518,-93.34173616,"Beauregard, Louisiana, US",37497,0,0,0,1,1,1,2,3,3,4,4,4,5,5,8,10,13,15,19,23,23,23,26,27,27,27,28,28,30,33,35,35,35,36,36,36,35,35,35,35,36,37,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Bienville,Louisiana,32.34569994,-93.05398492,"Bienville, Louisiana, US",13241,0,0,0,1,1,1,1,1,1,1,3,3,5,6,6,8,9,10,12,14,17,17,24,27,30,33,37,37,42,45,58,65,66,66,66,69,69,69,70,72,73,73,74,77,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,7,8,9,9,9,9,9,9,12,13,13,13,13,13,13,13
Bossier,Louisiana,32.67932307,-93.60460152,"Bossier, Louisiana, US",127039,1,2,5,5,5,12,12,25,32,37,45,56,57,63,75,87,95,126,133,139,146,159,171,175,178,186,188,207,211,220,230,230,233,233,241,246,255,258,265,270,274,277,285,286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,6,7,7,9,9,10,10,11,11,11,11,11,11,11,12,12,12,12,13,13,14,15,17
Caddo,Louisiana,32.57991587,-93.88375652,"Caddo, Louisiana, US",240204,5,7,12,15,15,34,40,93,115,140,189,219,222,242,298,336,377,598,647,711,756,803,906,950,974,1018,1033,1097,1118,1154,1220,1244,1261,1276,1310,1332,1389,1407,1432,1448,1470,1497,1525,1540,0,0,0,0,0,0,0,0,1,2,2,5,5,7,7,10,10,10,19,21,26,25,26,39,39,39,39,56,57,55,56,68,70,72,83,84,85,85,92,93,93,100,106,107
Calcasieu,Louisiana,30.22931235,-93.35400434,"Calcasieu, Louisiana, US",203436,0,0,3,4,4,4,5,11,15,22,28,35,42,65,90,108,119,135,139,159,186,191,209,228,248,259,268,273,282,300,309,309,323,324,334,341,352,356,360,363,369,377,386,389,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,5,8,12,13,14,15,15,16,18,19,19,20,23,24,26,26,27,27,28,29,29
Caldwell,Louisiana,32.0902519,-92.11752148,"Caldwell, Louisiana, US",9918,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,10,11,13,14,18,18,18,18,18,18,18,19,19,15,15,15,15,15,17,17,17,17,17,17,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Louisiana,29.87592238,-93.19310676,"Cameron, Louisiana, US",6973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catahoula,Louisiana,31.66778967,-91.84526385,"Catahoula, Louisiana, US",9494,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,5,6,9,9,12,13,14,17,18,20,21,21,21,22,23,23,23,24,24,24,24,24,25,25,25,25,25,35,36,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Claiborne,Louisiana,32.82308512,-92.99526883,"Claiborne, Louisiana, US",15670,0,0,0,1,1,2,2,2,2,3,4,4,4,8,10,11,18,20,23,30,30,33,38,40,41,41,41,41,44,47,48,50,50,50,50,50,50,52,52,52,52,53,54,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7
Concordia,Louisiana,31.44817835,-91.63814433,"Concordia, Louisiana, US",19259,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,10,5,5,9,11,12,13,16,17,18,19,19,21,21,23,25,26,26,26,27,27,28,30,30,31,32,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4
De Soto,Louisiana,32.05457447,-93.74130302,"De Soto, Louisiana, US",27463,0,0,2,2,2,5,6,8,11,13,21,25,28,30,39,42,46,71,80,82,89,91,101,107,114,124,125,130,134,140,145,152,156,158,168,171,176,180,184,185,187,189,191,190,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,4,6,7,7,7,7,7,7,7,8,8,8,8,8,9,10,10,10,10,10,10,11,11,11,11
East Baton Rouge,Louisiana,30.53842039,-91.09777565,"East Baton Rouge, Louisiana, US",440059,2,5,7,18,18,43,58,75,105,124,153,164,188,228,244,325,389,621,656,816,892,935,1000,1088,1158,1223,1273,1295,1325,1389,1424,1476,1512,1534,1560,1603,1636,1697,1720,1739,1771,1787,1830,1874,0,0,0,0,0,2,2,3,4,4,4,7,9,9,10,11,13,14,22,25,31,33,36,39,45,49,52,58,62,66,66,72,72,74,90,95,100,109,114,120,124,125,129,137
East Carroll,Louisiana,32.73926954,-91.23425694,"East Carroll, Louisiana, US",6861,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,6,6,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Feliciana,Louisiana,30.84425359,-91.04976723,"East Feliciana, Louisiana, US",19135,0,0,0,0,0,0,0,0,4,5,6,8,8,9,10,14,19,22,27,39,39,39,59,65,67,71,73,77,81,84,90,90,93,95,101,102,106,105,107,108,116,118,119,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,4,7,7,7,7,7,7,8,10,10,10,11,11,11,12,12,14
Evangeline,Louisiana,30.72985248,-92.39915924,"Evangeline, Louisiana, US",33395,0,0,0,2,2,2,2,2,2,4,4,4,8,10,11,16,18,19,19,23,23,25,31,35,34,36,38,39,40,41,42,43,43,43,43,44,44,44,45,45,45,46,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Franklin,Louisiana,32.13675181,-91.67589857,"Franklin, Louisiana, US",20015,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,5,10,19,25,28,28,30,37,40,47,48,49,49,53,58,67,78,81,83,87,95,108,108,113,116,119,121,123,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
Grant,Louisiana,31.59882456,-92.56124347,"Grant, Louisiana, US",22389,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,5,5,9,8,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11,11,11,12,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iberia,Louisiana,29.86803617,-91.75871777,"Iberia, Louisiana, US",69830,0,0,2,2,2,3,2,2,3,4,9,11,18,36,49,67,78,68,69,83,89,97,108,121,128,136,142,148,159,164,175,176,184,194,195,217,228,231,240,243,245,247,248,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,4,5,5,5,5,5,5,7,6,8,8,8,9,10,11,12,13,15,16,17,18,19,21
Iberville,Louisiana,30.25734305,-91.3499598,"Iberville, Louisiana, US",32511,0,0,1,2,2,10,14,14,17,20,21,22,28,35,36,69,81,119,122,136,160,171,187,198,214,232,241,253,256,258,267,270,274,282,281,297,299,339,433,433,442,443,448,450,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,4,5,5,5,6,8,9,9,10,12,14,16,17,17,18,19,21,21,21,21,22,23,25,26,26,26,27,29,30
Jackson,Louisiana,32.30251776,-92.55692092,"Jackson, Louisiana, US",15744,0,0,0,0,0,0,0,1,1,3,2,2,2,3,4,4,4,1,1,4,5,5,7,8,8,8,8,9,11,12,14,14,14,15,15,16,21,22,25,25,30,30,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Jefferson,Louisiana,29.74075478,-90.11115756,"Jefferson, Louisiana, US",432493,40,62,104,166,166,252,293,359,458,548,744,761,838,1193,1433,2178,2495,3008,3088,3530,3922,4092,4480,4678,4877,4990,5088,5188,5265,5346,5476,5543,5592,5761,5802,5860,5929,5985,6007,6059,6104,6135,6173,6197,0,1,2,3,3,5,6,7,12,24,26,28,37,57,64,73,85,95,113,121,137,149,158,165,166,173,186,210,247,261,269,275,282,286,288,297,306,323,325,329,331,340,340,346
Jefferson Davis,Louisiana,30.26896765,-92.81210004,"Jefferson Davis, Louisiana, US",31368,0,0,0,0,0,0,0,1,1,1,1,2,3,5,9,13,14,9,13,21,25,28,30,32,35,44,47,47,48,48,52,53,55,55,57,57,57,57,59,59,61,61,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,7,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
LaSalle,Louisiana,31.67884782,-92.15907765,"LaSalle,Louisiana,US",14892,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,6,6,8,9,9,10,11,13,13,13,13,13,13,13,14,14,15,15,17,18,19,21,21,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
